address_from,address_to,date_time,amount
\x1104b4df568fa7af90b1bed1d78a2f71e748dc8a,\x61eb53ee427ab4e007d78a9134aacb3101a2dc23,2022-08-04T20:23:33+00:00,40.4274885229770192
\x278dc748eda1d8efef1adfb518542612b49fcd34,\x35678017e1d252da1cdd6745b147e3e75d1f9c27,2022-08-04T20:30:39+00:00,14085.942458912381
\x28120d9d49dbaeb5e34d6b809b842684c482ef27,\x3cf54f3a1969be9916dad548f3c084331c4450b5,2022-08-04T20:23:33+00:00,40.4274885229770192
\x3cf54f3a1969be9916dad548f3c084331c4450b5,\x1104b4df568fa7af90b1bed1d78a2f71e748dc8a,2022-08-04T20:23:33+00:00,40.4274885229770192
\x4f3ad55d7b884cdc48add1e2451a13af17887f26,\x28120d9d49dbaeb5e34d6b809b842684c482ef27,2022-08-04T20:15:00+00:00,15.4021746196550472
\x59cfcd384746ec3035299d90782be065e466800b,\x4f3ad55d7b884cdc48add1e2451a13af17887f26,2022-08-04T20:15:00+00:00,15.4021746196550472
\x685b63cfe0179b3efb70a01dcb1d648549aa192d,\xed3105a0ec578908ff55073a22dda66943605e3f,2022-08-04T20:00:33+00:00,733.1784368709419231
\x9acd4f65448208f691417511193686f4b6058952,\x61eb53ee427ab4e007d78a9134aacb3101a2dc23,2022-08-04T20:44:44+00:00,141.0000000000000000
\x9d40dd78d9f03182eed194ba8189dd42af172f0a,\xcd8286b48936cdac20518247dbd310ab681a9fbf,2022-08-04T20:19:00+00:00,378.2476449537546735
\xc6764e58b36e26b08fd1d2aed4538c02171fa872,\x59cfcd384746ec3035299d90782be065e466800b,2022-08-04T20:15:00+00:00,15.4021746196550472
\xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,\xdc35af40e50007eaa7a5ad287e9401e57b2c5486,2022-08-04T20:12:28+00:00,57.0000000000000000
\xd658a338613198204dca1143ac3f01a722b5d94a,\x9acd4f65448208f691417511193686f4b6058952,2022-08-04T20:42:00+00:00,141.4042207229819417
\xda2c338350a0e59ce71cdced9679a3a590dd9bec,\x9d40dd78d9f03182eed194ba8189dd42af172f0a,2022-08-04T20:17:11+00:00,14.1648328235406035
